,Address,Latitude,Longitude
0,1 BEACH RD,1.303671351,103.8644787
1,1 BEDOK STH AVE 1,1.320852087,103.93372109999999
2,1 CANTONMENT RD,1.277034744,103.841261
3,1 CHAI CHEE RD,1.327968792,103.92271600000001
4,1 CHANGI VILLAGE RD,1.388546562,103.98780450000001
5,1 DELTA AVE,1.292075251,103.82858409999999
6,1 DOVER RD,1.302525747,103.78327320000001
7,1 EUNOS CRES,1.320657645,103.9024634
8,1 EVERTON PK,1.277426543,103.8400012
9,1 GEYLANG SERAI,1.3167363490000001,103.89822790000001
10,1 GHIM MOH RD,1.312879757,103.786855
11,1 HAIG RD,1.311290912,103.89770340000001
12,1 HOLLAND CL,1.3092193779999999,103.7967324
13,1 HOUGANG AVE 3,1.3641309730000002,103.8930013
14,1 JLN BT MERAH,1.28645354,103.80824240000001
15,1 JLN KUKOH,1.288231015,103.8399342
16,1 JOO CHIAT RD,1.315938021,103.8983976
17,1 KG KAYU RD,1.303557697,103.88379640000001
18,1 LOR LEW LIAN,1.350867126,103.8753439
19,1 LOR 7 TOA PAYOH,1.339430335,103.8534428
20,1 MARINE TER,1.304829022,103.918615
21,1 MARSILING DR,1.440671099,103.7757399
22,1 MAUDE RD,1.3075823020000001,103.85896740000001
23,1 PINE CL,1.307870562,103.8831922
24,1 QUEEN'S RD,1.317266295,103.8067829
25,1 REDHILL CL,1.2842571520000001,103.8178263
26,1 ST. GEORGE'S RD,,
27,1 ST. GEORGE'S RD,1.3533003069999998,103.94052540000001
28,1 TAMPINES WALK,1.382538829,103.7517109
29,1 TECK WHYE AVE,1.279456601,103.8178976
30,1 TELOK BLANGAH CRES,1.275687028,103.84243359999999
31,1 TG PAGAR PLAZA,1.325571131,103.8424938
32,1 THOMSON RD,1.339571753,103.7746782
33,1 TOH YI DR,1.334292424,103.87874620000001
34,1 UPP ALJUNIED LANE,1.4548887069999998,103.80025400000001
35,1 WOODLANDS IND PK E3,1.299713301,103.7978755
36,1A C'WEALTH DR,1.27784271,103.84096590000001
37,1A CANTONMENT RD,1.321290305,103.9027278
38,1A EUNOS CRES,1.277190575,103.84025770000001
39,1A EVERTON PK,1.279606818,103.8177905
40,1A TELOK BLANGAH CRES,1.387966586,103.9882989
41,1A TELOK PAKU RD,1.325761279,103.8430541
42,1A THOMSON RD,1.33904481,103.7743004
43,1A TOH YI DR,1.277799407,103.8414034
44,1B CANTONMENT RD,1.277449094,103.8416667
45,1C CANTONMENT RD,1.276920234,103.8414858
46,1D CANTONMENT RD,1.276621683,103.84115609999999
47,1E CANTONMENT RD,1.275986995,103.84119179999999
48,1F CANTONMENT RD,1.275532291,103.84127459999999
49,1G CANTONMENT RD,1.315509938,103.86095300000001
50,10 BENDEMEER RD,1.274569743,103.8392121
51,10 CANTONMENT CL,1.3272757240000002,103.92480359999999
52,10 CHAI CHEE RD,1.3063411459999998,103.88445820000001
53,10 DAKOTA CRES,1.3222865590000001,103.9027205
54,10 EUNOS CRES,1.313916587,103.8522098
55,10 GLOUCESTER RD,1.314839502,103.8958652
56,10 HAIG RD,1.308149971,103.7942752
57,10 HOLLAND AVE,1.288200189,103.8083694
58,10 JLN RUMAH TINGGI,1.28745837,103.83267579999999
59,10 JLN BT HO SWEE,1.302044883,103.88288709999999
60,10 JLN BATU,1.286837933,103.83867409999999
61,10 JLN KUKOH,1.334866323,103.88001209999999
62,10 JOO SENG RD,1.337171643,103.8577935
63,10 LOR 7 TOA PAYOH,1.4408056740000001,103.7773186
64,10 MARSILING DR,1.30555234,103.8635628
65,10 NTH BRIDGE RD,1.309152394,103.8822425
66,10 PINE CL,1.303708794,103.85053719999999
67,10 SELEGIE RD,,
68,10 ST. GEORGE'S RD,1.380470551,103.7552111
69,10 ST. GEORGE'S RD,1.277731532,103.8197694
70,10 TECK WHYE AVE,1.337539566,103.7731611
71,10 TELOK BLANGAH CRES,1.4542409969999999,103.8001731
72,10 TOH YI DR,1.322585616,103.9368494
73,10 WOODLANDS AVE 8,1.314991389,103.8605054
74,10A BEDOK STH AVE 2,1.286358471,103.82962619999999
75,10A BENDEMEER RD,1.327103643,103.9249213
76,10A BOON TIONG RD,1.308404471,103.7936975
77,10A CHAI CHEE RD,1.286837933,103.83867409999999
78,10A HOLLAND DR,1.337171643,103.8577935
79,10A JLN KUKOH,1.315477153,103.86031290000001
80,10A LOR 7 TOA PAYOH,1.322353866,103.9361833
81,10B BENDEMEER RD,1.286336847,103.8292048
82,10B BEDOK STH AVE 2,1.337161364,103.8583536
83,10B BOON TIONG RD,1.315842362,103.86064449999999
84,10B LOR 7 TOA PAYOH,1.3220942359999999,103.93622359999999
85,10C BENDEMEER RD,1.33691013,103.8580493
86,10C BEDOK STH AVE 2,1.3217708590000001,103.9363266
87,10C LOR 7 TOA PAYOH,1.321620093,103.93704100000001
88,10D BEDOK STH AVE 2,1.322217735,103.93700129999999
89,10E BEDOK STH AVE 2,1.320959012,103.8841294
90,10F BEDOK STH AVE 2,1.334355934,103.9390327
91,100 ALJUNIED CRES,1.3077052759999999,103.8012725
92,100 BEDOK NTH AVE 4,1.339564005,103.8485857
93,100 C'WEALTH CRES,1.320779477,103.8543487
94,100 LOR 1 TOA PAYOH,1.32739679,103.844481
95,100 WHAMPOA DR,1.320922753,103.883352
96,101 AH HOOD RD,1.370261584,103.8394679
97,101 ALJUNIED CRES,1.328449133,103.9099374
98,101 ANG MO KIO AVE 3,1.3344846670000001,103.9379247
99,101 BEDOK RESERVOIR RD,1.3448591580000002,103.8484008
100,101 BEDOK NTH AVE 4,1.2714625659999998,103.8256835
101,101 BISHAN ST 12,1.3467063609999999,103.7469207
102,101 BT PURMEI RD,1.308051592,103.8008428
103,101 BT BATOK WEST AVE 6,1.3220893679999999,103.76893340000001
104,101 C'WEALTH CRES,1.379164316,103.76743929999999
105,101 CLEMENTI ST 14,1.2907179979999999,103.8216252
106,101 GANGSA RD,1.354937478,103.89136059999998
107,101 HENDERSON CRES,1.328800862,103.850782
108,101 HOUGANG AVE 1,1.337011008,103.7387873
109,101 JLN RAJAH,1.3251598340000001,103.9108888
110,101 JURONG EAST ST 13,1.367050215,103.9581819
111,101 LENGKONG TIGA,1.3331571009999998,103.8683804
112,101 PASIR RIS ST 12,1.398481661,103.90580809999999
113,101 POTONG PASIR AVE 1,1.38276429,103.899272
114,101 PUNGGOL FIELD,1.37103632,103.87036090000001
115,101 RIVERVALE WALK,1.3408499109999998,103.95143370000001
116,101 SERANGOON NTH AVE 1,1.275241413,103.8360458
117,101 SIMEI ST 1,1.347400346,103.94529490000001
118,101 SPOTTISWOODE PK RD,1.3778896459999999,103.75423990000002
119,101 TAMPINES ST 11,1.31942539,103.8610875
120,101 TECK WHYE LANE,1.320417102,103.8538139
121,101 TOWNER RD,1.435982685,103.7819327
122,101 WHAMPOA DR,1.43113229,103.8283671
123,101 WOODLANDS ST 13,1.4517389280000002,103.8304541
124,101 YISHUN AVE 5,1.339741267,103.8472642
125,101A CANBERRA ST,1.397946168,103.90594509999998
126,101A LOR 2 TOA PAYOH,1.43113229,103.8283671
127,101A PUNGGOL FIELD,1.451663104,103.83117490000001
128,101A YISHUN AVE 5,1.339598845,103.8476054
129,101B CANBERRA ST,1.397847151,103.9064361
130,101B LOR 2 TOA PAYOH,1.4313916169999998,103.8282301
131,101B PUNGGOL FIELD,1.339260187,103.84706379999999
132,101B YISHUN AVE 5,1.3980904580000002,103.9065693
133,101C LOR 2 TOA PAYOH,1.4315325509999999,103.8279876
134,101C PUNGGOL FIELD,1.398484785,103.9061439
135,101C YISHUN AVE 5,1.32043903,103.8824204
136,101D PUNGGOL FIELD,1.370650098,103.8394103
137,102 ALJUNIED CRES,1.333906548,103.9374584
138,102 ANG MO KIO AVE 3,1.328491877,103.90926520000001
139,102 BEDOK NTH AVE 4,1.3451431230000002,103.84799079999999
140,102 BEDOK RESERVOIR RD,1.271908423,103.8266717
141,102 BISHAN ST 12,1.347329959,103.7473436
142,102 BT PURMEI RD,1.307824649,103.8006298
143,102 BT BATOK WEST AVE 6,1.4518344909999998,103.8321067
144,102 C'WEALTH CRES,1.322285572,103.76920190000001
145,102 CANBERRA ST,1.280337007,103.81351020000001
146,102 CLEMENTI ST 14,1.379107628,103.7681538
147,102 DEPOT RD,1.290366187,103.8215771
148,102 GANGSA RD,1.3549644630000002,103.8908551
149,102 HENDERSON CRES,1.3282230640000001,103.85151979999999
150,102 HOUGANG AVE 1,1.327868743,103.84420959999999
151,102 JLN RAJAH,1.3360965790000001,103.7382192
152,102 JLN DUSUN,1.325579307,103.9106575
153,102 JURONG EAST ST 13,1.367484273,103.9580411
154,102 LENGKONG TIGA,1.3336901270000001,103.86881059999999
155,102 PASIR RIS ST 12,1.398280578,103.90565440000002
156,102 POTONG PASIR AVE 1,1.38180761,103.9008932
157,102 PUNGGOL FIELD,1.3708432730000002,103.8711536
158,102 RIVERVALE WALK,1.34134725,103.9513551
159,102 SERANGOON NTH AVE 1,1.27472973,103.8362355
160,102 SIMEI ST 1,1.3467161630000002,103.9455214
161,102 SPOTTISWOODE PK RD,1.377082841,103.7543944
162,102 TAMPINES ST 11,1.320586095,103.862002
163,102 TECK WHYE LANE,1.436082949,103.7811996
164,102 TOWNER RD,1.430618304,103.828763
165,102 WOODLANDS ST 13,1.2802913459999998,103.81333240000001
166,102 YISHUN AVE 5,1.398833183,103.90578359999999
167,102A DEPOT RD,1.38215139,103.9000751
168,102A PUNGGOL FIELD,1.451239704,103.8314364
169,102A RIVERVALE WALK,1.3990852580000002,103.90547140000001
170,102B CANBERRA ST,1.398761278,103.904939
171,102B PUNGGOL FIELD,1.3984807080000001,103.9052498
172,102C PUNGGOL FIELD,1.327962675,103.844827
173,102D PUNGGOL FIELD,1.320516922,103.88327029999999
174,103 AH HOOD RD,1.371016578,103.8393048
175,103 ALJUNIED CRES,1.3334825909999999,103.9375425
176,103 ANG MO KIO AVE 3,1.328770222,103.9093814
177,103 BEDOK NTH AVE 4,1.345512491,103.8483142
178,103 BEDOK RESERVOIR RD,1.272085585,103.82549559999998
179,103 BISHAN ST 12,1.348454876,103.7483399
180,103 BT PURMEI RD,1.308192316,103.80009809999999
181,103 BT BATOK CTRL,1.322588548,103.7691762
182,103 C'WEALTH CRES,1.397473398,103.9048218
